algorithm,num,model,param,accuracy,precision,recall,f1,auc
logistic,5,H1->self,,0.6587,0.6207,0.4449,0.5171,0.6625
logistic,5,H3->self,,0.6268,0.7753,0.4640,0.5803,0.6426
logistic,5,H5->self,,0.5461,0.8322,0.3389,0.4763,0.6275
logistic,5,H1->H3 50%val,l1_0.0001_liblinear,0.4438,0.0000,0.0000,0.0000,0.5000
logistic,5,H1->H3 50%test,l1_0.0001_liblinear,0.4440,0.0000,0.0000,0.0000,0.5000
logistic,5,H1->H5 50%val,l1_0.23357214690901212_liblinear,0.3836,0.0000,0.0000,0.0000,0.6821
logistic,5,H1->H5 50%test,l1_0.23357214690901212_liblinear,0.3878,0.0000,0.0000,0.0000,0.5845
logistic,5,H3->H1 50%val,l2_0.23357214690901212_liblinear,0.5776,0.4898,0.5304,0.5093,0.5301
logistic,5,H3->H1 50%test,l2_0.23357214690901212_liblinear,0.5365,0.4439,0.4807,0.4615,0.5100
logistic,5,H3->H5 50%val,l1_0.012742749857031334_liblinear,0.6164,0.6164,1.0000,0.7627,0.6556
logistic,5,H3->H5 50%test,l1_0.012742749857031334_liblinear,0.6122,0.6122,1.0000,0.7595,0.5997
logistic,5,H5->H1 50%val,l1_3792.690190732246_saga,0.4886,0.4433,0.9282,0.6000,0.6390
logistic,5,H5->H1 50%test,l1_3792.690190732246_saga,0.4977,0.4485,0.9392,0.6071,0.6190
logistic,5,H5->H3 50%val,l2_0.615848211066026_liblinear,0.5562,0.5562,1.0000,0.7148,0.5927
logistic,5,H5->H3 50%test,l2_0.615848211066026_liblinear,0.5560,0.5560,1.0000,0.7147,0.5837
logistic,5,H3H5->H1 50%val,l1_0.03359818286283781_saga,0.5913,0.5049,0.5691,0.5351,0.5565
logistic,5,H3H5->H1 50%test,l1_0.03359818286283781_saga,0.5411,0.4510,0.5083,0.4779,0.5282
logistic,5,H1H5->H3 50%val,l1_78.47599703514607_saga,0.6125,0.8520,0.3670,0.5131,0.5952
logistic,5,H1H5->H3 50%test,l1_78.47599703514607_saga,0.6098,0.8509,0.3615,0.5074,0.5830
logistic,5,H1H3->H5 50%val,l1_0.012742749857031334_saga,0.6164,0.6164,1.0000,0.7627,0.6556
logistic,5,H1H3->H5 50%test,l1_0.012742749857031334_saga,0.6122,0.6122,1.0000,0.7595,0.5997
logistic,10,H1->self,,0.6427,0.5736,0.5279,0.5488,0.6326
logistic,10,H3->self,,0.6299,0.7699,0.4772,0.5891,0.6605
logistic,10,H5->self,,0.5666,0.7907,0.4000,0.5305,0.6349
logistic,10,H1->H3 50%val,l1_10000.0_liblinear,0.6378,0.7570,0.5136,0.6120,0.6533
logistic,10,H1->H3 50%test,l1_10000.0_liblinear,0.6251,0.7362,0.5077,0.6010,0.6450
logistic,10,H1->H5 50%val,l1_206.913808111479_liblinear,0.3836,0.0000,0.0000,0.0000,0.6827
logistic,10,H1->H5 50%test,l1_206.913808111479_liblinear,0.4082,0.8000,0.0444,0.0842,0.5945
logistic,10,H3->H1 50%val,l1_11.288378916846883_liblinear,0.5753,0.4855,0.4641,0.4746,0.5212
logistic,10,H3->H1 50%test,l1_11.288378916846883_liblinear,0.5228,0.4239,0.4309,0.4274,0.4904
logistic,10,H3->H5 50%val,l1_0.03359818286283781_liblinear,0.6164,0.6164,1.0000,0.7627,0.6821
logistic,10,H3->H5 50%test,l1_0.03359818286283781_liblinear,0.6190,0.6164,1.0000,0.7627,0.5885
logistic,10,H5->H1 50%val,l1_3792.690190732246_saga,0.4886,0.4411,0.8895,0.5897,0.6323
logistic,10,H5->H1 50%test,l1_3792.690190732246_saga,0.4977,0.4466,0.9006,0.5971,0.6036
logistic,10,H5->H3 50%val,l2_1.623776739188721_liblinear,0.5562,0.5562,1.0000,0.7148,0.5651
logistic,10,H5->H3 50%test,l2_1.623776739188721_liblinear,0.5560,0.5560,1.0000,0.7147,0.5578
logistic,10,H3H5->H1 50%val,l1_0.615848211066026_liblinear,0.6050,0.6000,0.1326,0.2172,0.6237
logistic,10,H3H5->H1 50%test,l1_0.615848211066026_liblinear,0.6050,0.6053,0.1271,0.2100,0.5848
logistic,10,H1H5->H3 50%val,l1_11.288378916846883_saga,0.6344,0.7230,0.5554,0.6282,0.6490
logistic,10,H1H5->H3 50%test,l1_11.288378916846883_saga,0.6147,0.6971,0.5431,0.6105,0.6309
logistic,10,H1H3->H5 50%val,l1_0.03359818286283781_liblinear,0.6301,0.6364,0.9333,0.7568,0.6821
logistic,10,H1H3->H5 50%test,l1_0.03359818286283781_liblinear,0.5850,0.6124,0.8778,0.7215,0.5885
logistic,15,H1->self,,0.5913,0.5119,0.3921,0.4426,0.6143
logistic,15,H3->self,,0.6224,0.7371,0.4997,0.5954,0.6627
logistic,15,H5->self,,0.6793,0.8214,0.6111,0.7006,0.7528
logistic,15,H1->H3 50%val,l2_29.763514416313132_liblinear,0.4788,0.5785,0.2318,0.3310,0.6155
logistic,15,H1->H3 50%test,l2_29.763514416313132_liblinear,0.4763,0.5673,0.2449,0.3421,0.5901
logistic,15,H1->H5 50%val,l2_4.281332398719396_liblinear,0.3836,0.0000,0.0000,0.0000,0.7673
logistic,15,H1->H5 50%test,l2_4.281332398719396_liblinear,0.3878,0.0000,0.0000,0.0000,0.7378
logistic,15,H3->H1 50%val,l1_0.615848211066026_liblinear,0.6370,0.5598,0.5691,0.5644,0.6036
logistic,15,H3->H1 50%test,l1_0.615848211066026_liblinear,0.6050,0.5230,0.5028,0.5127,0.5658
logistic,15,H3->H5 50%val,l2_0.0001_liblinear,0.6164,0.6164,1.0000,0.7627,0.7659
logistic,15,H3->H5 50%test,l2_0.0001_liblinear,0.6122,0.6122,1.0000,0.7595,0.7337
logistic,15,H5->H1 50%val,l1_3792.690190732246_liblinear,0.6164,0.5230,0.8177,0.6379,0.6556
logistic,15,H5->H1 50%test,l1_3792.690190732246_liblinear,0.6027,0.5137,0.7238,0.6009,0.6468
logistic,15,H5->H3 50%val,l1_206.913808111479_liblinear,0.6335,0.6437,0.7637,0.6986,0.5943
logistic,15,H5->H3 50%test,l1_206.913808111479_liblinear,0.6217,0.6345,0.7539,0.6891,0.5829
logistic,15,H3H5->H1 50%val,l1_0.0001_liblinear,0.5868,0.0000,0.0000,0.0000,0.5000
logistic,15,H3H5->H1 50%test,l1_0.0001_liblinear,0.5868,0.0000,0.0000,0.0000,0.5000
logistic,15,H1H5->H3 50%val,l1_4.281332398719396_liblinear,0.5050,0.5834,0.3849,0.4638,0.5933
logistic,15,H1H5->H3 50%test,l1_4.281332398719396_liblinear,0.4941,0.5665,0.3842,0.4579,0.5730
logistic,15,H1H3->H5 50%val,l2_0.004832930238571752_liblinear,0.6164,0.6164,1.0000,0.7627,0.7690
logistic,15,H1H3->H5 50%test,l2_0.004832930238571752_liblinear,0.6122,0.6122,1.0000,0.7595,0.7413
logistic,20,H1->self,,0.5787,0.4909,0.4503,0.4686,0.6006
logistic,20,H3->self,,0.6659,0.8202,0.5121,0.6302,0.7515
logistic,20,H5->self,,0.7475,0.9304,0.6389,0.7555,0.8747
logistic,20,H1->H3 50%val,l2_0.615848211066026_liblinear,0.5754,0.8294,0.2980,0.4385,0.7152
logistic,20,H1->H3 50%test,l2_0.615848211066026_liblinear,0.5628,0.8030,0.2831,0.4186,0.7015
logistic,20,H1->H5 50%val,l2_1.623776739188721_liblinear,0.4041,1.0000,0.0333,0.0645,0.8778
logistic,20,H1->H5 50%test,l2_1.623776739188721_liblinear,0.4014,0.6667,0.0444,0.0833,0.8524
logistic,20,H3->H1 50%val,l1_0.08858667904100823_liblinear,0.6073,0.5164,0.7845,0.6228,0.6414
logistic,20,H3->H1 50%test,l1_0.08858667904100823_liblinear,0.5183,0.4449,0.6685,0.5342,0.5637
logistic,20,H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8288,0.8824,0.8333,0.8571,0.8764
logistic,20,H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8231,0.8478,0.8667,0.8571,0.8458
logistic,20,H5->H1 50%val,l2_1.623776739188721_saga,0.5251,0.4620,0.9061,0.6119,0.6122
logistic,20,H5->H1 50%test,l2_1.623776739188721_saga,0.5068,0.4487,0.8453,0.5862,0.5883
logistic,20,H5->H3 50%val,l1_0.615848211066026_liblinear,0.6538,0.6282,0.9253,0.7483,0.6788
logistic,20,H5->H3 50%test,l1_0.615848211066026_liblinear,0.6414,0.6203,0.9155,0.7395,0.6597
logistic,20,H3H5->H1 50%val,l1_0.08858667904100823_liblinear,0.6073,0.5164,0.7845,0.6228,0.6400
logistic,20,H3H5->H1 50%test,l1_0.08858667904100823_liblinear,0.5183,0.4449,0.6685,0.5342,0.5623
logistic,20,H1H5->H3 50%val,l2_0.08858667904100823_liblinear,0.6547,0.7289,0.6037,0.6604,0.6878
logistic,20,H1H5->H3 50%test,l2_0.08858667904100823_liblinear,0.6402,0.7141,0.5885,0.6453,0.6715
logistic,20,H1H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8288,0.9577,0.7556,0.8447,0.8764
logistic,20,H1H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8027,0.8861,0.7778,0.8284,0.8460
logistic,25,H1->self,,0.5730,0.4867,0.4669,0.4751,0.5999
logistic,25,H3->self,,0.6681,0.7858,0.5549,0.6502,0.7460
logistic,25,H5->self,,0.7441,0.9239,0.6389,0.7532,0.8719
logistic,25,H1->H3 50%val,l2_11.288378916846883_saga,0.5659,0.7379,0.3406,0.4661,0.6989
logistic,25,H1->H3 50%test,l2_11.288378916846883_saga,0.5619,0.7238,0.3428,0.4653,0.6896
logistic,25,H1->H5 50%val,l1_0.615848211066026_liblinear,0.3836,0.0000,0.0000,0.0000,0.8726
logistic,25,H1->H5 50%test,l1_0.615848211066026_liblinear,0.4014,0.6667,0.0444,0.0833,0.8509
logistic,25,H3->H1 50%val,l1_0.012742749857031334_saga,0.6073,0.5164,0.7845,0.6228,0.6377
logistic,25,H3->H1 50%test,l1_0.012742749857031334_saga,0.5205,0.4469,0.6740,0.5374,0.5646
logistic,25,H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8014,0.8352,0.8444,0.8398,0.8704
logistic,25,H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8571,0.8485,0.9333,0.8889,0.8460
logistic,25,H5->H1 50%val,l2_4.281332398719396_liblinear,0.5342,0.4674,0.9116,0.6180,0.6119
logistic,25,H5->H1 50%test,l2_4.281332398719396_liblinear,0.5137,0.4532,0.8564,0.5927,0.5921
logistic,25,H5->H3 50%val,l1_0.615848211066026_saga,0.6396,0.6156,0.9371,0.7431,0.6755
logistic,25,H5->H3 50%test,l1_0.615848211066026_saga,0.6353,0.6136,0.9293,0.7391,0.6668
logistic,25,H3H5->H1 50%val,l1_0.012742749857031334_saga,0.6073,0.5164,0.7845,0.6228,0.6377
logistic,25,H3H5->H1 50%test,l1_0.012742749857031334_saga,0.5205,0.4469,0.6740,0.5374,0.5646
logistic,25,H1H5->H3 50%val,l2_0.23357214690901212_saga,0.6509,0.7044,0.6415,0.6715,0.6779
logistic,25,H1H5->H3 50%test,l2_0.23357214690901212_saga,0.6366,0.6905,0.6279,0.6577,0.6698
logistic,25,H1H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8562,0.9481,0.8111,0.8743,0.8688
logistic,25,H1H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8571,0.8966,0.8667,0.8814,0.8462
logistic,30,H1->self,,0.5730,0.4870,0.4696,0.4769,0.5985
logistic,30,H3->self,,0.7092,0.7758,0.6717,0.7197,0.7922
logistic,30,H5->self,,0.7272,0.8519,0.6778,0.7539,0.8525
logistic,30,H1->H3 50%val,l1_0.615848211066026_liblinear,0.6384,0.8983,0.3946,0.5484,0.7830
logistic,30,H1->H3 50%test,l1_0.615848211066026_liblinear,0.6287,0.8815,0.3838,0.5348,0.7843
logistic,30,H1->H5 50%val,l1_4.281332398719396_saga,0.6233,0.9487,0.4111,0.5736,0.8163
logistic,30,H1->H5 50%test,l1_4.281332398719396_saga,0.5646,0.8611,0.3444,0.4921,0.7186
logistic,30,H3->H1 50%val,l1_0.004832930238571752_saga,0.6050,0.5145,0.7845,0.6214,0.6357
logistic,30,H3->H1 50%test,l1_0.004832930238571752_saga,0.5228,0.4489,0.6796,0.5407,0.5600
logistic,30,H3->H5 50%val,l2_0.004832930238571752_saga,0.7877,0.9403,0.7000,0.8025,0.8893
logistic,30,H3->H5 50%test,l2_0.004832930238571752_saga,0.7279,0.8676,0.6556,0.7468,0.8019
logistic,30,H5->H1 50%val,l2_1.623776739188721_liblinear,0.5365,0.4689,0.9171,0.6206,0.6111
logistic,30,H5->H1 50%test,l2_1.623776739188721_liblinear,0.5183,0.4556,0.8508,0.5934,0.5809
logistic,30,H5->H3 50%val,l1_0.615848211066026_saga,0.6511,0.6218,0.9517,0.7521,0.7285
logistic,30,H5->H3 50%test,l1_0.615848211066026_saga,0.6459,0.6188,0.9456,0.7481,0.7256
logistic,30,H3H5->H1 50%val,l1_0.012742749857031334_liblinear,0.6073,0.5164,0.7845,0.6228,0.6358
logistic,30,H3H5->H1 50%test,l1_0.012742749857031334_liblinear,0.5205,0.4469,0.6740,0.5374,0.5601
logistic,30,H1H5->H3 50%val,l2_0.08858667904100823_liblinear,0.6631,0.7119,0.6622,0.6862,0.7304
logistic,30,H1H5->H3 50%test,l2_0.08858667904100823_liblinear,0.6626,0.7119,0.6604,0.6852,0.7308
logistic,30,H1H3->H5 50%val,l2_0.004832930238571752_liblinear,0.7877,0.9683,0.6778,0.7974,0.8895
logistic,30,H1H3->H5 50%test,l2_0.004832930238571752_liblinear,0.7143,0.8636,0.6333,0.7308,0.8019
logistic,35,H1->self,,0.6244,0.5468,0.5385,0.5420,0.6334
logistic,35,H3->self,,0.7099,0.7764,0.6723,0.7204,0.7924
logistic,35,H5->self,,0.7341,0.8567,0.6833,0.7597,0.8473
logistic,35,H1->H3 50%val,l1_0.615848211066026_liblinear,0.6393,0.8922,0.3999,0.5523,0.7829
logistic,35,H1->H3 50%test,l1_0.615848211066026_liblinear,0.6305,0.8789,0.3891,0.5394,0.7837
logistic,35,H1->H5 50%val,l2_206.913808111479_liblinear,0.6712,0.9565,0.4889,0.6471,0.8300
logistic,35,H1->H5 50%test,l2_206.913808111479_liblinear,0.6259,0.8889,0.4444,0.5926,0.7683
logistic,35,H3->H1 50%val,l1_0.03359818286283781_saga,0.6073,0.5197,0.6575,0.5805,0.6709
logistic,35,H3->H1 50%test,l1_0.03359818286283781_saga,0.5616,0.4753,0.5856,0.5248,0.6041
logistic,35,H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8493,0.8778,0.8778,0.8778,0.8855
logistic,35,H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8163,0.8058,0.9222,0.8601,0.8011
logistic,35,H5->H1 50%val,l2_1.623776739188721_liblinear,0.5411,0.4724,0.9448,0.6298,0.6535
logistic,35,H5->H1 50%test,l2_1.623776739188721_liblinear,0.5046,0.4497,0.8895,0.5974,0.6178
logistic,35,H5->H3 50%val,l1_1.623776739188721_liblinear,0.6606,0.6324,0.9310,0.7532,0.7123
logistic,35,H5->H3 50%test,l1_1.623776739188721_liblinear,0.6631,0.6348,0.9277,0.7538,0.7085
logistic,35,H3H5->H1 50%val,l1_0.012742749857031334_liblinear,0.5959,0.5067,0.8398,0.6320,0.6702
logistic,35,H3H5->H1 50%test,l1_0.012742749857031334_liblinear,0.5274,0.4555,0.7348,0.5624,0.6012
logistic,35,H1H5->H3 50%val,l1_0.23357214690901212_saga,0.6710,0.6767,0.7820,0.7256,0.7150
logistic,35,H1H5->H3 50%test,l1_0.23357214690901212_saga,0.6768,0.6822,0.7839,0.7295,0.7122
logistic,35,H1H3->H5 50%val,l1_0.004832930238571752_saga,0.8425,0.9589,0.7778,0.8589,0.8885
logistic,35,H1H3->H5 50%test,l1_0.004832930238571752_saga,0.8435,0.8764,0.8667,0.8715,0.8298
logistic,40,H1->self,,0.6016,0.5171,0.5330,0.5248,0.6310
logistic,40,H3->self,,0.6892,0.7701,0.6290,0.6923,0.7928
logistic,40,H5->self,,0.7610,0.8949,0.6944,0.7789,0.8738
logistic,40,H1->H3 50%val,l1_1.623776739188721_saga,0.6414,0.8464,0.4340,0.5738,0.7857
logistic,40,H1->H3 50%test,l1_1.623776739188721_saga,0.6326,0.8259,0.4297,0.5653,0.7846
logistic,40,H1->H5 50%val,l2_206.913808111479_liblinear,0.6781,0.9574,0.5000,0.6569,0.8551
logistic,40,H1->H5 50%test,l2_206.913808111479_liblinear,0.6327,0.8913,0.4556,0.6029,0.8069
logistic,40,H3->H1 50%val,l1_0.03359818286283781_liblinear,0.6073,0.5198,0.6519,0.5784,0.6687
logistic,40,H3->H1 50%test,l1_0.03359818286283781_liblinear,0.5594,0.4725,0.5691,0.5163,0.6018
logistic,40,H3->H5 50%val,l2_0.012742749857031334_saga,0.7877,0.9836,0.6667,0.7947,0.9130
logistic,40,H3->H5 50%test,l2_0.012742749857031334_saga,0.6939,0.8947,0.5667,0.6939,0.8488
logistic,40,H5->H1 50%val,l2_4.281332398719396_liblinear,0.5365,0.4618,0.7348,0.5672,0.6452
logistic,40,H5->H1 50%test,l2_4.281332398719396_liblinear,0.5274,0.4529,0.6906,0.5470,0.6083
logistic,40,H5->H3 50%val,l1_0.615848211066026_saga,0.6746,0.6434,0.9310,0.7609,0.7401
logistic,40,H5->H3 50%test,l1_0.615848211066026_saga,0.6811,0.6483,0.9322,0.7647,0.7339
logistic,40,H3H5->H1 50%val,l1_0.03359818286283781_saga,0.6073,0.5198,0.6519,0.5784,0.6706
logistic,40,H3H5->H1 50%test,l1_0.03359818286283781_saga,0.5616,0.4749,0.5746,0.5200,0.6035
logistic,40,H1H5->H3 50%val,l1_0.23357214690901212_liblinear,0.6881,0.6885,0.8023,0.7410,0.7403
logistic,40,H1H5->H3 50%test,l1_0.23357214690901212_liblinear,0.6917,0.6904,0.8079,0.7445,0.7342
logistic,40,H1H3->H5 50%val,l2_0.004832930238571752_saga,0.8493,0.8696,0.8889,0.8791,0.9120
logistic,40,H1H3->H5 50%test,l2_0.004832930238571752_saga,0.8571,0.8557,0.9222,0.8877,0.8440
logistic,45,H1->self,,0.6381,0.5652,0.5357,0.5496,0.6630
logistic,45,H3->self,,0.6890,0.7693,0.6296,0.6923,0.7937
logistic,45,H5->self,,0.8086,0.9093,0.7667,0.8306,0.8816
logistic,45,H1->H3 50%val,l2_11.288378916846883_saga,0.6405,0.8544,0.4263,0.5688,0.7820
logistic,45,H1->H3 50%test,l2_11.288378916846883_saga,0.6280,0.8310,0.4155,0.5540,0.7805
logistic,45,H1->H5 50%val,l2_10000.0_liblinear,0.6027,0.9211,0.3889,0.5469,0.8437
logistic,45,H1->H5 50%test,l2_10000.0_liblinear,0.5646,0.8250,0.3667,0.5077,0.8214
logistic,45,H3->H1 50%val,l1_0.03359818286283781_liblinear,0.6210,0.5322,0.6851,0.5990,0.7081
logistic,45,H3->H1 50%test,l1_0.03359818286283781_liblinear,0.5753,0.4889,0.6077,0.5419,0.6323
logistic,45,H3->H5 50%val,l2_0.012742749857031334_liblinear,0.8973,0.9412,0.8889,0.9143,0.9103
logistic,45,H3->H5 50%test,l2_0.012742749857031334_liblinear,0.8707,0.8737,0.9222,0.8973,0.8671
logistic,45,H5->H1 50%val,l2_11.288378916846883_saga,0.6279,0.5446,0.6077,0.5744,0.6670
logistic,45,H5->H1 50%test,l2_11.288378916846883_saga,0.6210,0.5405,0.5525,0.5464,0.6349
logistic,45,H5->H3 50%val,l1_1.623776739188721_saga,0.7026,0.6748,0.8981,0.7706,0.7382
logistic,45,H5->H3 50%test,l1_1.623776739188721_saga,0.6990,0.6727,0.8932,0.7674,0.7322
logistic,45,H3H5->H1 50%val,l1_0.03359818286283781_saga,0.6210,0.5322,0.6851,0.5990,0.7103
logistic,45,H3H5->H1 50%test,l1_0.03359818286283781_saga,0.5776,0.4912,0.6133,0.5455,0.6337
logistic,45,H1H5->H3 50%val,l1_0.08858667904100823_liblinear,0.6606,0.7827,0.5396,0.6388,0.7768
logistic,45,H1H5->H3 50%test,l1_0.08858667904100823_liblinear,0.6540,0.7729,0.5349,0.6323,0.7709
logistic,45,H1H3->H5 50%val,l2_0.012742749857031334_liblinear,0.8836,0.9506,0.8556,0.9006,0.9103
logistic,45,H1H3->H5 50%test,l2_0.012742749857031334_liblinear,0.8639,0.8977,0.8778,0.8876,0.8674
logistic,50,H1->self,,0.6404,0.5679,0.5385,0.5520,0.6631
logistic,50,H3->self,,0.6864,0.7683,0.6246,0.6888,0.7931
logistic,50,H5->self,,0.8293,0.9064,0.8056,0.8515,0.9034
logistic,50,H1->H3 50%val,l2_11.288378916846883_liblinear,0.6396,0.8476,0.4292,0.5698,0.7801
logistic,50,H1->H3 50%test,l2_11.288378916846883_liblinear,0.6269,0.8245,0.4180,0.5547,0.7796
logistic,50,H1->H5 50%val,l2_1.623776739188721_saga,0.5753,0.9667,0.3222,0.4833,0.9385
logistic,50,H1->H5 50%test,l2_1.623776739188721_saga,0.5102,0.8214,0.2556,0.3898,0.8668
logistic,50,H3->H1 50%val,l1_0.03359818286283781_saga,0.6210,0.5322,0.6851,0.5990,0.7080
logistic,50,H3->H1 50%test,l1_0.03359818286283781_saga,0.5753,0.4889,0.6077,0.5419,0.6318
logistic,50,H3->H5 50%val,l2_0.012742749857031334_saga,0.8973,0.9310,0.9000,0.9153,0.9403
logistic,50,H3->H5 50%test,l2_0.012742749857031334_saga,0.8707,0.8660,0.9333,0.8984,0.8689
logistic,50,H5->H1 50%val,l2_1.623776739188721_liblinear,0.6347,0.5522,0.6133,0.5812,0.6712
logistic,50,H5->H1 50%test,l2_1.623776739188721_liblinear,0.6324,0.5543,0.5635,0.5589,0.6417
logistic,50,H5->H3 50%val,l1_0.615848211066026_saga,0.7044,0.6804,0.8835,0.7688,0.7231
logistic,50,H5->H3 50%test,l1_0.615848211066026_saga,0.7008,0.6798,0.8729,0.7644,0.7183
logistic,50,H3H5->H1 50%val,l1_0.03359818286283781_saga,0.6210,0.5322,0.6851,0.5990,0.7093
logistic,50,H3H5->H1 50%test,l1_0.03359818286283781_saga,0.5753,0.4889,0.6077,0.5419,0.6332
logistic,50,H1H5->H3 50%val,l1_0.08858667904100823_saga,0.6610,0.7846,0.5384,0.6386,0.7670
logistic,50,H1H5->H3 50%test,l1_0.08858667904100823_saga,0.6472,0.7675,0.5244,0.6231,0.7617
logistic,50,H1H3->H5 50%val,l2_0.012742749857031334_saga,0.8904,0.9405,0.8778,0.9080,0.9405
logistic,50,H1H3->H5 50%test,l2_0.012742749857031334_saga,0.8707,0.8901,0.9000,0.8950,0.8697
logistic,55,H1->self,,0.6221,0.5438,0.5274,0.5352,0.6646
logistic,55,H3->self,,0.7934,0.8574,0.7541,0.8023,0.8830
logistic,55,H5->self,,0.8327,0.9073,0.8111,0.8552,0.9048
logistic,55,H1->H3 50%val,l1_0.615848211066026_liblinear,0.7678,0.9102,0.6464,0.7559,0.8867
logistic,55,H1->H3 50%test,l1_0.615848211066026_liblinear,0.7541,0.8890,0.6373,0.7424,0.8767
logistic,55,H1->H5 50%val,l2_1.623776739188721_liblinear,0.5822,0.9677,0.3333,0.4959,0.9401
logistic,55,H1->H5 50%test,l2_1.623776739188721_liblinear,0.5442,0.8485,0.3111,0.4553,0.8740
logistic,55,H3->H1 50%val,l1_0.23357214690901212_liblinear,0.6826,0.6382,0.5359,0.5826,0.7112
logistic,55,H3->H1 50%test,l1_0.23357214690901212_liblinear,0.6164,0.5455,0.4309,0.4815,0.6193
logistic,55,H3->H5 50%val,l2_0.004832930238571752_liblinear,0.9041,0.9419,0.9000,0.9205,0.9462
logistic,55,H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8776,0.8750,0.9333,0.9032,0.8775
logistic,55,H5->H1 50%val,l2_29.763514416313132_saga,0.6416,0.5706,0.5359,0.5527,0.6674
logistic,55,H5->H1 50%test,l2_29.763514416313132_saga,0.6256,0.5570,0.4586,0.5030,0.6363
logistic,55,H5->H3 50%val,l2_4.281332398719396_saga,0.7132,0.6728,0.9428,0.7853,0.8163
logistic,55,H5->H3 50%test,l2_4.281332398719396_saga,0.7197,0.6761,0.9521,0.7907,0.8099
logistic,55,H3H5->H1 50%val,l2_1.623776739188721_liblinear,0.6781,0.6333,0.5249,0.5740,0.7120
logistic,55,H3H5->H1 50%test,l2_1.623776739188721_liblinear,0.6142,0.5448,0.4033,0.4635,0.6230
logistic,55,H1H5->H3 50%val,l1_0.08858667904100823_saga,0.7491,0.8995,0.6179,0.7326,0.8826
logistic,55,H1H5->H3 50%test,l1_0.08858667904100823_saga,0.7376,0.8788,0.6125,0.7219,0.8724
logistic,55,H1H3->H5 50%val,l2_0.004832930238571752_saga,0.8630,0.9605,0.8111,0.8795,0.9460
logistic,55,H1H3->H5 50%test,l2_0.004832930238571752_saga,0.8299,0.8916,0.8222,0.8555,0.8775
logistic,60,H1->self,,0.6335,0.5588,0.5301,0.5433,0.6708
logistic,60,H3->self,,0.8030,0.8686,0.7610,0.8112,0.8851
logistic,60,H5->self,,0.8361,0.9090,0.8167,0.8591,0.9027
logistic,60,H1->H3 50%val,l1_4.281332398719396_saga,0.7886,0.8987,0.6987,0.7862,0.8836
logistic,60,H1->H3 50%test,l1_4.281332398719396_saga,0.7798,0.8815,0.6978,0.7790,0.8760
logistic,60,H1->H5 50%val,l2_3792.690190732246_saga,0.6507,0.9333,0.4667,0.6222,0.9149
logistic,60,H1->H5 50%test,l2_3792.690190732246_saga,0.6327,0.8462,0.4889,0.6197,0.8240
logistic,60,H3->H1 50%val,l1_0.03359818286283781_saga,0.6758,0.6114,0.5912,0.6011,0.7253
logistic,60,H3->H1 50%test,l1_0.03359818286283781_saga,0.6279,0.5570,0.4862,0.5192,0.6437
logistic,60,H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8904,0.8854,0.9444,0.9140,0.9429
logistic,60,H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8503,0.8208,0.9667,0.8878,0.8739
logistic,60,H5->H1 50%val,l1_4.281332398719396_liblinear,0.6484,0.5771,0.5580,0.5674,0.6696
logistic,60,H5->H1 50%test,l1_4.281332398719396_liblinear,0.6553,0.5915,0.5359,0.5623,0.6460
logistic,60,H5->H3 50%val,l2_11.288378916846883_saga,0.7240,0.6879,0.9225,0.7881,0.8229
logistic,60,H5->H3 50%test,l2_11.288378916846883_saga,0.7313,0.6925,0.9293,0.7936,0.8177
logistic,60,H3H5->H1 50%val,l1_0.08858667904100823_liblinear,0.6735,0.6033,0.6133,0.6082,0.7253
logistic,60,H3H5->H1 50%test,l1_0.08858667904100823_liblinear,0.6301,0.5583,0.5028,0.5291,0.6438
logistic,60,H1H5->H3 50%val,l1_0.08858667904100823_liblinear,0.7448,0.9147,0.5968,0.7224,0.8878
logistic,60,H1H5->H3 50%test,l1_0.08858667904100823_liblinear,0.7342,0.8949,0.5914,0.7122,0.8791
logistic,60,H1H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8836,0.9294,0.8778,0.9029,0.9431
logistic,60,H1H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8707,0.8737,0.9222,0.8973,0.8743
logistic,65,H1->self,,0.6472,0.5750,0.5605,0.5665,0.6950
logistic,65,H3->self,,0.8067,0.8640,0.7744,0.8167,0.8877
logistic,65,H5->self,,0.8361,0.9082,0.8167,0.8585,0.9041
logistic,65,H1->H3 50%val,l1_0.615848211066026_liblinear,0.7676,0.8918,0.6626,0.7603,0.8889
logistic,65,H1->H3 50%test,l1_0.615848211066026_liblinear,0.7617,0.8813,0.6604,0.7550,0.8818
logistic,65,H1->H5 50%val,l1_4.281332398719396_saga,0.7534,0.9655,0.6222,0.7568,0.9459
